project_name,queue_position,fuel_primary,fuel_secondary,fuel_tertiary,net_mw,county,state,utility,pto_study_region,poi_station_or_line,application_status,status,technology,is_withdrawn,is_completed,is_active
AVOCET STORAGE,1608.0,Battery,,,200.0,LOS ANGELES,CA,SCE,Metro,Hinson Substation 230kV,ACTIVE,active,storage,0,0,1
COMMERCE ENERGY STORAGE,1611.0,Battery,,,250.0,LOS ANGELES,CA,SCE,Metro,Laguna Bell Substation 230kV,ACTIVE,active,storage,0,0,1
KESTREL STORAGE,1615.0,Battery,,,200.0,LOS ANGELES,CA,SCE,Metro,Walnut Substation 220kV,ACTIVE,active,storage,0,0,1
LOCKHART SOLAR 2,1617.0,Battery,Solar,,150.0,SAN BERNARDINO,CA,SCE,NOL,Kramer Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
GOLDBACK SOLAR CENTER,1619.0,Battery,,,500.0,VENTURA,CA,SCE,Northern,Moorpark Substation 230 kV,ACTIVE,active,storage,0,0,1
ANGELENO SOLAR FARM,1625.0,Battery,Solar,,1150.0,LOS ANGELES,CA,SCE,Northern,Vincent Substation 500kV,ACTIVE,active,hybrid_solar_storage,0,0,1
HUMIDOR STORAGE 1,1629.0,Battery,,,300.0,LOS ANGELES,CA,SCE,Northern,Vincent Substation 230 kV,ACTIVE,active,storage,0,0,1
BELLEFIELD 2 SOLAR FARM,1631.0,Battery,Solar,,500.0,KERN,CA,SCE,Northern,Windhub Substation 220kV,ACTIVE,active,hybrid_solar_storage,0,0,1
SANBORN HYBRID 3,1632.0,Battery,Solar,,1400.0,KERN,CA,SCE,Northern,Windhub Substation 500kV,ACTIVE,active,hybrid_solar_storage,0,0,1
CALYPSO SOLAR,1636.0,Battery,Solar,,400.0,RIVERSIDE,CA,SCE,Eastern,Colorado River Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
OBERON,1642.0,Battery,Solar,,500.0,RIVERSIDE,CA,SCE,Eastern,Red Bluff Substation 500kV,ACTIVE,active,hybrid_solar_storage,0,0,1
LYCAN SOLAR,1643.0,Solar,Battery,,400.0,RIVERSIDE,CA,SCE,Eastern,Red Bluff Substation 500kV,ACTIVE,active,hybrid_solar_storage,0,0,1
MENIFEE POWER BANK,1645.0,Battery,,,680.0,RIVERSIDE,CA,SCE,Eastern,Valley Substation 500kV,ACTIVE,active,storage,0,0,1
DOUBLE BUTTE STORAGE,1646.0,Battery,,,500.0,RIVERSIDE,CA,SCE,Eastern,Valley Substation 500 kV,ACTIVE,active,storage,0,0,1
ARIDA 2 SOLAR FARM,1647.0,Battery,Solar,,700.0,CLARK,NV,SCE,EOP,Mohave Substation 500kV,ACTIVE,active,hybrid_solar_storage,0,0,1
BONANZA SOLAR,1649.0,Battery,Solar,,300.0,CLARK/NYE,NV,GLW,EOP,Innovation Substation 230 kV ,ACTIVE,active,hybrid_solar_storage,0,0,1
ROUGH HAT HYBRID SOLAR,1650.0,Solar,Battery,,200.0,NYE,NV,GLW,EOP,Trout Canyon Substation 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
YELLOW PINE 3,1654.0,Solar,Battery,,250.0,CLARK,NV,GLW,EOP,Trout Canyon Substation 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
BONANZA PEAK SOLAR FARM,1655.0,Battery,Solar,,400.0,CLARK/NYE,NV,GLW,EOP,Trout Canyon Substation 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
SANDPIPER STORAGE,1657.0,Battery,,,200.0,ORANGE,CA,SDGE,SDGE,Talega Substation 138 kV,ACTIVE,active,storage,0,0,1
CIMARRON WIND,1660.0,Wind Turbine,,,300.0,TECATE,MX,SDGE,SDGE,East County Substation 230 kV,ACTIVE,active,wind,0,0,1
VENTASSO ENERGY STORAGE,1662.0,Battery,,,50.0,SAN DIEGO,CA,SDGE,,El Cajon Substation 69 kV,ACTIVE,active,storage,0,0,1
HOODINI,1663.0,Battery,Solar,,450.0,YUMA,AZ,SDGE,SDGE,Hoodoo Wash Switchyard 500 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
KINGSLEY SOLAR FARM,1665.0,Battery,Solar,,360.0,IMPERIAL,CA,SDGE,SDGE,Imperial Valley Substation 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
SUNRISE BUTTE,1667.0,Solar,Battery,,150.0,IMPERIAL,CA,SDGE,SDGE,Imperial Valley Substation 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
NIGHTHAWK STORAGE,1673.0,Battery,,,300.0,SAN DIEGO,CA,SDGE,SDGE,Sycamore Canyon Substation 138 kV,ACTIVE,active,storage,0,0,1
HARQUAHALA SUNRISE,1678.0,Battery,Solar,,300.0,MARICOPA,AZ,DCRT,Eastern,Delaney Substation 500 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
CONAWAY HYBRID POWER PLANT,1687.0,Battery,Solar,,80.0,YOLO,CA,PGAE,Northern,Woodland-Davis 115 kV Line,ACTIVE,active,hybrid_solar_storage,0,0,1
DENALI ENERGY STORAGE,1690.0,Battery,,,101.2,SAN JOAQUIN,CA,PGAE,Northern,Vierra 115 kV,ACTIVE,active,storage,0,0,1
POTENTIA-VIRIDI,1702.0,Wind Turbine,Solar,Battery,400.0,SAN JOAQUIN,CA,PGAE,Northern,Tesla 500 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
STEEL CITY BATTERY STORAGE,1705.0,Battery,,,220.0,CONTRA COSTA,CA,PGAE,Northern,Pittsburg 230 kV,ACTIVE,active,storage,0,0,1
ROSEMARY,1709.0,Solar,Battery,,35.0,FRESNO,CA,PGAE,Northern,Crescent 70 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
GONZAGA HYBRID,1718.0,Battery,Wind Turbine,,103.65,MERCED,CA,PGAE,Fresno,Los Banos 70 kV,ACTIVE,active,storage,0,0,1
