queue_number,project_number,project_name,fuel_1,fuel_2,fuel_3,mw_1,mw_2,mw_3,net_mw,county,state,study_area,pto,poi,voltage_kv,requested_cod,queue_date,application_date,withdrawal_date,service_type,status,days_queue_to_withdrawal,days_app_to_withdrawal,technology,is_withdrawn,is_active
2267,54636,Quark,Photovoltaic/Solar,Storage/Battery,,869.4,1175.3,,2044.6999999999998,Fresno,CA,PG&E KERN,PGAE,HARLAN SW STA 500 kV ,500,2028-09-30,,2024-11-19,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2232,54672,Reflex,Photovoltaic/Solar,,,129.04,,,129.04,Riverside,CA,SCE EASTERN,SCE,RED BLUFF 230 kV,230,2029-01-01,,2024-12-02,,Energy Only Requested,active,,,other,0,1
2234,54684,Ripple,Photovoltaic/Solar,Storage/Battery,,945.9227,933.8717,,1879.7944,Kings and Fresno,CA,PG&E KERN,PGAE,DRY LAKE SW STA 500 kV ,500,2031-10-03,,2024-11-29,,Energy Only Requested,active,,,other,0,1
2341,54531,Rover,Storage/Battery,,,206.24,,,206.24,Los Angeles,CA,SCE NORTHERN,SCE,VINCENT 230 kV,230,2028-06-30,,2024-11-06,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2302,54866,Saguaro Energy Storage,Storage/Battery,,,204.93,,,204.93,San Bernardino,CA,SCE METRO,SCE,CHINO 230 kV,230,2029-06-01,,2024-11-15,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2332,54995,Separator Expansion,Storage/Battery,,,12.55,,,12.55,San Bernardino,CA,SCE EASTERN,SCE,ETIWANDA 230 kV,230,2025-06-06,,2024-11-15,,Merchant- Full Capacity Deliverability Status Requested,active,,,other,0,1
2215,54669,Serenity,Photovoltaic/Solar,,,305.41,,,305.41,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2031-06-01,,2024-11-18,,Energy Only Requested,active,,,other,0,1
2293,54915,Shoals Energy Storage 2,Storage/Battery,,,461.13,,,461.13,Los Angeles County,CA,SCE NORTHERN,SCE,VINCENT 500 kV,500,2029-08-01,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2249,54665,Shoestring,Photovoltaic/Solar,Storage/Battery,,135.17,134.36,,269.53,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2268,54651,Sienna 3,Photovoltaic/Solar,Storage/Battery,,288.0,288.0,,576.0,San Bernardino,CA,SCE NOL,SCE,CALCITE 230 kV,230,2031-12-31,,2024-11-25,,Energy Only Requested,active,,,other,0,1
2311,55049,Soledad Solar,Photovoltaic/Solar,,,562.354996,,,562.354996,Kern,CA,SCE NORTHERN,SCE,WINDHUB 230 kV,230,2028-06-01,,2024-11-21,,Energy Only Requested,active,,,other,0,1
2252,54739,Solstice A,Photovoltaic/Solar,Storage/Battery,,556.0,554.6,,1110.6,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2254,54847,Solstice B,Photovoltaic/Solar,Storage/Battery,,606.39,604.93,,1211.32,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2253,54848,Solstice C,Photovoltaic/Solar,Storage/Battery,,204.53,203.63,,408.15999999999997,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2251,54849,Solstice D,Photovoltaic/Solar,Storage/Solar,,204.41,203.63,,408.03999999999996,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
2250,54738,Stable,Photovoltaic/Solar,Storage/Battery,,376.81,373.11,,749.9200000000001,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,,2024-11-21,,Full Capacity Deliverability Status Requested,active,,,other,0,1
